Наименование,Категория
Бур X-BIT (XB-LF1) по ламинату 2610942616,Инструменты и крепёж
Бур X-BIT (XB-MC1) по металлу 2610942617,Инструменты и крепёж
Бур SDS+ 6х150х210 BOSCH 2608680264,Инструменты и крепёж
Бур SDS+ 10х200х260 BOSCH 2608680275,Инструменты и крепёж
Бур SDS+ZENTRO 10.0х160 PROJAHN,Инструменты и крепёж
Бур SDS+ZENTRO 8.0х110 PROJAHN,Инструменты и крепёж
Бур SDS+ 28х250 ZENTRO PROJAHN,Инструменты и крепёж
Бур SDS+ 25х250 PROJAHN,Инструменты и крепёж
Бур SDS+ 24х250 PROJAHN,Инструменты и крепёж
Бур SDS+ 22х600 PROJAHN,Инструменты и крепёж
Бур SDS+ 8х400 PROJAHN 8308400,Инструменты и крепёж
Бур SDS+ 8х310 PROJAHN,Инструменты и крепёж
Бур SDS+ 8х110 PROJAHN,Инструменты и крепёж
Удлинитель Versio 25х280 85025,"Инженерная электрика, лампы"
Бур VERSIO 30х475 PROJAHN 85130,Инструменты и крепёж
Бур VERSIO 90х150 пробойный PROJAHN 85090,Инструменты и крепёж
Бур VERSIO 80х150 пробойный PROJAHN 85080,Инструменты и крепёж
Бур VERSIO 30х150 пробойный PROJAHN 85030,Инструменты и крепёж
Бур SDS+ 24х200х260 BOSCH 1618596236,Инструменты и крепёж
Бур SDS+ 6.0х310 PROJAHN,Инструменты и крепёж
Бур SDS+ 6.0х260 PROJAHN 8306260,Инструменты и крепёж
Бур SDS+ 5.0х210 PROJAHN,Инструменты и крепёж
Бур SDS+ 12х310 PROJAHN,Инструменты и крепёж
Бур SDS+ 10х310 PROJAHN,Инструменты и крепёж
Бур SDS+ 10x110 PROJAHN,Инструменты и крепёж
Бур SDS+ 8х410 HAWERA HW144210,Инструменты и крепёж
Бур SDS+ 8х300 по бетону HARDAX 36-4-308,Инструменты и крепёж
Бур SDS+ 8х110 по бетону HARDAX 36-4-108,Инструменты и крепёж
Бур SDS+ 22х260 Makita D-00371,Инструменты и крепёж
Бур SDS+ 12х160 FALC,Инструменты и крепёж
Бур VERSIO 35х150 пробойный PROJAHN 85035,Инструменты и крепёж
Бур SDS+ 8х250х310 BOSCH 2608597944,Инструменты и крепёж
Бур SDS+ 12х200/260 BOSCH 2608585631,Инструменты и крепёж
Бур SDS+ X5L 12х100/165 BOSCH 2608585050,Инструменты и крепёж
Бур SDS+ X5L 6х150/215 BOSCH 2608585030,Инструменты и крепёж
Бур SDS+ X5L 12х200х265 BOSCH 2608585052,Инструменты и крепёж
Бур SDS+ X5L 12х150х215 BOSCH 2608585069,Инструменты и крепёж
Бур для перфораторов (6х210 мм; SDS-plus) ZENTRO PROJAHN 3062104,Инструменты и крепёж
Бур ZENTRO для перфоратора (18х400/450 мм; SDS-plus) PROJAHN 83184504,Инструменты и крепёж
Бур SDS+ 6х150х210 BOSCH 2608585618,Инструменты и крепёж
